TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030221.000000,-1.700560,2.508470,-4.918050,-3.070790,0.806956,0.583333,-9999.000000,-9999.000000
20030222.000000,-2.397280,3.394330,-14.922600,35.912600,0.926656,0.458333,-9999.000000,-9999.000000
20030223.000000,0.629863,0.255410,11.698600,47.305900,0.792558,0.833333,-9999.000000,-9999.000000
20030224.000000,0.856960,0.062687,49.696000,31.393000,0.769582,0.520833,-9999.000000,-9999.000000
20030225.000000,-0.882543,1.791620,29.615600,29.259100,0.834403,0.833333,-9999.000000,-9999.000000
20030226.000000,-3.515670,4.020860,18.866200,6.941670,0.529425,0.854167,-9999.000000,-9999.000000
20030227.000000,-1.320830,1.882190,16.735200,8.853640,0.605087,0.000000,-9999.000000,-9999.000000
20030228.000000,-1.121810,1.915610,9.550360,15.631600,0.844671,0.125000,-9999.000000,-9999.000000
20030301.000000,2.225070,-0.681572,17.150300,46.220300,1.550000,0.729167,-9999.000000,-9999.000000
20030302.000000,2.731760,-0.093655,50.330800,47.730300,2.569620,0.791667,-9999.000000,-9999.000000
20030303.000000,-0.927622,2.800870,61.221000,26.258200,1.960760,0.604167,-9999.000000,-9999.000000
20030304.000000,0.337051,2.715020,56.570100,30.883100,3.074800,0.750000,-9999.000000,-9999.000000
20030305.000000,-2.524710,7.629090,4.985030,29.713100,4.968010,0.708333,-9999.000000,-9999.000000
20030306.000000,4.728220,0.371407,-14.829000,31.890700,4.915620,0.708333,-9999.000000,-9999.000000
20030307.000000,1.899490,-0.692780,19.810300,16.472100,1.384770,0.791667,-9999.000000,-9999.000000
20030308.000000,-0.751468,2.833730,45.046800,41.903100,2.155840,0.541667,-9999.000000,-9999.000000
20030309.000000,-1.418360,4.223020,32.740500,37.464800,2.621290,0.916667,-9999.000000,-9999.000000
20030310.000000,-2.137660,3.502630,58.223700,29.402800,1.246040,0.708333,-9999.000000,-9999.000000
20030311.000000,-2.819620,3.683050,36.202900,11.823800,0.702889,0.583333,-9999.000000,-9999.000000
20030312.000000,-3.689010,5.384790,56.334600,107.823000,0.973642,0.458333,-9999.000000,-9999.000000
20030313.000000,-1.848620,4.045520,28.198000,140.509000,0.890320,0.541667,-9999.000000,-9999.000000
20030314.000000,8.098810,-6.532310,51.010900,73.774200,0.830682,0.937500,-9999.000000,-9999.000000
20030315.000000,-2.456780,4.096100,17.012400,38.122400,1.241450,0.958333,-9999.000000,-9999.000000
20030316.000000,-0.275194,4.030530,0.873170,79.981000,2.986390,0.791667,-9999.000000,-9999.000000
20030317.000000,3.411480,1.957090,20.417800,32.261500,4.529790,0.708333,-9999.000000,-9999.000000
20030318.000000,1.629860,3.885280,0.810625,26.153500,5.100530,0.833333,-9999.000000,-9999.000000
20030319.000000,3.491820,0.195810,-12.851500,29.728000,3.687530,1.000000,-9999.000000,-9999.000000
20030320.000000,4.552590,-2.193400,-10.379400,36.291300,2.479780,0.125000,-9999.000000,-9999.000000
20030321.000000,4.641450,-0.683961,-10.215900,36.743800,3.826210,0.000000,-9999.000000,-9999.000000
20030322.000000,0.352147,3.758210,55.941200,57.760900,3.921690,0.000000,-9999.000000,-9999.000000
20030323.000000,-1.436360,4.983850,61.507500,51.376600,3.407460,0.000000,-9999.000000,-9999.000000
20030324.000000,-1.915660,4.886150,61.512400,51.183300,2.880840,0.354167,-9999.000000,-9999.000000
20030325.000000,-0.877018,3.796110,51.916000,65.763000,2.784040,0.750000,-9999.000000,-9999.000000
20030326.000000,-0.110896,2.651530,39.071000,71.702700,2.438760,0.895833,-9999.000000,-9999.000000
20030327.000000,2.962740,-1.410210,55.357500,74.810400,1.570960,0.979167,-9999.000000,-9999.000000
20030328.000000,1.610970,0.406285,50.508800,56.576200,1.969040,1.000000,-9999.000000,-9999.000000
20030329.000000,0.826338,2.057980,-8.792870,92.444300,2.706350,0.958333,-9999.000000,-9999.000000
20030330.000000,-2.711300,3.658590,-7.151160,101.842000,1.022270,0.916667,-9999.000000,-9999.000000
20030331.000000,-2.565370,3.387350,55.545600,46.013500,0.914615,1.000000,-9999.000000,-9999.000000
20030401.000000,-1.038610,2.887390,33.576400,58.843000,1.847790,1.000000,-9999.000000,-9999.000000
20030402.000000,-0.858085,3.801090,31.893900,69.258200,2.818490,0.937500,-9999.000000,-9999.000000
20030403.000000,-0.550065,3.755220,31.326900,69.256600,3.031880,0.875000,-9999.000000,-9999.000000
20030404.000000,-1.447470,4.584870,8.077190,62.257800,2.983250,1.000000,-9999.000000,-9999.000000
20030405.000000,-2.884560,5.531490,-14.259800,38.623900,2.572560,1.000000,-9999.000000,-9999.000000
20030406.000000,5.431960,-3.262900,39.782300,91.592300,2.080140,1.000000,-9999.000000,-9999.000000
20030407.000000,-4.991690,5.869050,6.992710,66.559600,0.898620,0.812500,-9999.000000,-9999.000000
20030408.000000,-0.804035,1.697110,6.034930,99.184900,0.859728,0.687500,-9999.000000,-9999.000000
20030409.000000,-4.317290,5.193160,7.256500,17.158100,0.799498,0.520833,-9999.000000,-9999.000000
20030410.000000,-7.411220,8.368970,-44.413100,132.937000,0.872752,0.833333,-9999.000000,-9999.000000
20030411.000000,-0.891624,1.956930,7.376470,48.943400,0.981834,0.812500,-9999.000000,-9999.000000
20030412.000000,-2.864510,4.834790,48.963700,75.250000,1.707780,0.750000,-9999.000000,-9999.000000
20030413.000000,-1.723330,3.631130,63.196600,66.635800,1.701720,0.416667,-9999.000000,-9999.000000
20030414.000000,0.384331,1.756530,65.309500,83.838000,1.934910,0.729167,-9999.000000,-9999.000000
20030415.000000,-1.701600,4.275360,50.292100,72.370800,2.250130,0.854167,-9999.000000,-9999.000000
20030416.000000,-1.991920,4.762140,37.906700,80.136600,2.315010,1.000000,-9999.000000,-9999.000000
20030417.000000,-0.907185,3.193680,81.637600,98.940800,1.873790,0.833333,-9999.000000,-9999.000000
20030418.000000,-5.014050,6.081670,30.880700,100.520000,0.939014,0.729167,-9999.000000,-9999.000000
20030419.000000,-5.516190,6.716670,9.955710,26.990000,1.000380,0.791667,-9999.000000,-9999.000000
20030420.000000,-4.519460,6.099390,33.024400,55.465500,1.213370,0.708333,-9999.000000,-9999.000000
20030421.000000,-1.052040,2.838760,6.465230,31.557000,1.291880,0.645833,-9999.000000,-9999.000000
20030422.000000,-3.757040,5.697070,25.362900,75.321600,1.365380,0.937500,-9999.000000,-9999.000000
20030423.000000,-3.618840,4.847360,65.464400,61.180300,0.990736,0.541667,-9999.000000,-9999.000000
20030424.000000,-4.717210,6.092700,57.693200,75.467700,1.198590,0.625000,-9999.000000,-9999.000000
20030425.000000,-4.225930,5.539740,-6.823480,68.937800,1.268990,0.666667,-9999.000000,-9999.000000
20030426.000000,-2.988110,4.548110,21.760300,65.098200,1.533040,0.770833,-9999.000000,-9999.000000
20030427.000000,-5.604030,7.534960,49.180300,87.010200,1.804850,0.500000,-9999.000000,-9999.000000
20030428.000000,-4.862250,7.336700,58.085400,85.376200,2.201580,0.645833,-9999.000000,-9999.000000
20030429.000000,-4.304960,7.596410,38.469100,73.916600,2.808230,0.750000,-9999.000000,-9999.000000
20030430.000000,-2.374120,5.935350,45.044000,102.788000,3.076770,0.437500,-9999.000000,-9999.000000
20030501.000000,-1.494560,5.369600,35.977200,97.514800,3.421590,0.604167,-9999.000000,-9999.000000
20030502.000000,-3.012290,7.387630,40.970600,80.704600,3.888180,0.583333,-9999.000000,-9999.000000
